Year of Year Date,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Value (For Charting),Adjusted for Inflation Flag,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Total Value # (Billion),Total Value # (Million),Total Value For Year,Value (Actual),Year (copy)
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2009,837.504670989," (adjusted for inflation, 2019 dollars)",2009,,$837.5M,1,$9.3B,,$9332.0B,837.504670989,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2010,525.251935283," (adjusted for inflation, 2019 dollars)",2010,,$525.3M,1,$8.2B,,$8223.2B,525.251935283,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2011,313.918277400," (adjusted for inflation, 2019 dollars)",2011,,$313.9M,1,$8.1B,,$8110.0B,313.918277400,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2012,162.565728249," (adjusted for inflation, 2019 dollars)",2012,,$162.6M,1,$7.8B,,$7812.2B,162.565728249,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2013,107.548976379," (adjusted for inflation, 2019 dollars)",2013,,$107.5M,1,$7.7B,,$7720.6B,107.548976379,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2014,71.611272010," (adjusted for inflation, 2019 dollars)",2014,,$71.6M,1,$7.2B,,$7229.8B,71.611272010,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2015,58.874581007," (adjusted for inflation, 2019 dollars)",2015,,$58.9M,1,$7.2B,,$7238.6B,58.874581007,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2016,59.998070883," (adjusted for inflation, 2019 dollars)",2016,,$60.0M,1,$8.1B,,$8072.8B,59.998070883,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2017,37.040368455," (adjusted for inflation, 2019 dollars)",2017,,$37.0M,1,$9.2B,,$9174.7B,37.040368455,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2018,25.410090370," (adjusted for inflation, 2019 dollars)",2018,,$25.4M,1,$10.0B,,$10024.6B,25.410090370,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2019,21.426736902," (adjusted for inflation, 2019 dollars)",2019,,$21.4M,1,$11.1B,,$11111.6B,21.426736902,2019
2003,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2003,36.542277717," (adjusted for inflation, 2019 dollars)",2003,,$36.5M,1,$16.5B,,$16471.0B,36.542277717,2003
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2004,22.466417152," (adjusted for inflation, 2019 dollars)",2004,,$22.5M,1,$16.7B,,$16707.8B,22.466417152,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2005,13.090476190," (adjusted for inflation, 2019 dollars)",2005,,$13.1M,1,$16.1B,,$16088.1B,13.090476190,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2006,6.974769345," (adjusted for inflation, 2019 dollars)",2006,,$7.0M,1,$14.9B,,$14912.7B,6.974769345,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2007,4.439774240," (adjusted for inflation, 2019 dollars)",2007,,$4.4M,1,$13.1B,,$13135.4B,4.439774240,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2008,3.681029526," (adjusted for inflation, 2019 dollars)",2008,,$3.7M,1,$10.4B,,$10421.8B,3.681029526,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2009,2.860004568," (adjusted for inflation, 2019 dollars)",2009,,$2.9M,1,$9.3B,,$9332.0B,2.860004568,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2010,1.993143504," (adjusted for inflation, 2019 dollars)",2010,,$2.0M,1,$8.2B,,$8223.2B,1.993143504,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2011,1.704842202," (adjusted for inflation, 2019 dollars)",2011,,$1.7M,1,$8.1B,,$8110.0B,1.704842202,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2012,1.494897613," (adjusted for inflation, 2019 dollars)",2012,,$1.5M,1,$7.8B,,$7812.2B,1.494897613,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2013,1.073719014," (adjusted for inflation, 2019 dollars)",2013,,$1.1M,1,$7.7B,,$7720.6B,1.073719014,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2014,0.824463360," (adjusted for inflation, 2019 dollars)",2014,,$0.8M,1,$7.2B,,$7229.8B,0.824463360,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2015,1.125529098," (adjusted for inflation, 2019 dollars)",2015,,$1.1M,1,$7.2B,,$7238.6B,1.125529098,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2016,1.285556610," (adjusted for inflation, 2019 dollars)",2016,,$1.3M,1,$8.1B,,$8072.8B,1.285556610,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2017,0.887142473," (adjusted for inflation, 2019 dollars)",2017,,$0.9M,1,$9.2B,,$9174.7B,0.887142473,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2018,0.875277267," (adjusted for inflation, 2019 dollars)",2018,,$0.9M,1,$10.0B,,$10024.6B,0.875277267,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SACD,Value (Adjusted),2019,0.433302292," (adjusted for inflation, 2019 dollars)",2019,,$0.4M,1,$11.1B,,$11111.6B,0.433302292,2019
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2004,9.338450503," (adjusted for inflation, 2019 dollars)",2004,,$9.3M,1,$16.7B,,$16707.8B,9.338450503,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2005,26.704571429," (adjusted for inflation, 2019 dollars)",2005,,$26.7M,1,$16.1B,,$16088.1B,26.704571429,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2006,41.594988095," (adjusted for inflation, 2019 dollars)",2006,,$41.6M,1,$14.9B,,$14912.7B,41.594988095,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2007,44.644396527," (adjusted for inflation, 2019 dollars)",2007,,$44.6M,1,$13.1B,,$13135.4B,44.644396527,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2008,118.742887930," (adjusted for inflation, 2019 dollars)",2008,,$118.7M,1,$10.4B,,$10421.8B,118.742887930,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2009,185.304462633," (adjusted for inflation, 2019 dollars)",2009,,$185.3M,1,$9.3B,,$9332.0B,185.304462633,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2010,292.171389001," (adjusted for inflation, 2019 dollars)",2010,,$292.2M,1,$8.2B,,$8223.2B,292.171389001,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2011,331.875948591," (adjusted for inflation, 2019 dollars)",2011,,$331.9M,1,$8.1B,,$8110.0B,331.875948591,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2012,514.445211983," (adjusted for inflation, 2019 dollars)",2012,,$514.4M,1,$7.8B,,$7812.2B,514.445211983,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2013,647.930273827," (adjusted for inflation, 2019 dollars)",2013,,$647.9M,1,$7.7B,,$7720.6B,647.930273827,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2014,835.213587287," (adjusted for inflation, 2019 dollars)",2014,,$835.2M,1,$7.2B,,$7229.8B,835.213587287,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2015,865.719793095," (adjusted for inflation, 2019 dollars)",2015,,$865.7M,1,$7.2B,,$7238.6B,865.719793095,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2016,941.535964784," (adjusted for inflation, 2019 dollars)",2016,,$941.5M,1,$8.1B,,$8072.8B,941.535964784,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2017,680.027594648," (adjusted for inflation, 2019 dollars)",2017,,$680.0M,1,$9.2B,,$9174.7B,680.027594648,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2018,970.064512738," (adjusted for inflation, 2019 dollars)",2018,,$970.1M,1,$10.0B,,$10024.6B,970.064512738,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",SoundExchange Distributions,Value (Adjusted),2019,908.2," (adjusted for inflation, 2019 dollars)",2019,,$908.2M,1,$11.1B,,$11111.6B,908.2,2019
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Synchronization,Value (Adjusted),2009,239.763716282," (adjusted for inflation, 2019 dollars)",2009,,$239.8M,1,$9.3B,,$9332.0B,239.763716282,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Synchronization,Value (Adjusted),2010,221.238928991," (adjusted for inflation, 2019 dollars)",2010,,$221.2M,1,$8.2B,,$8223.2B,221.238928991,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Synchronization,Value (Adjusted),2011,223.334328418," (adjusted for inflation, 2019 dollars)",2011,,$223.3M,1,$8.1B,,$8110.0B,223.334328418,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Synchronization,Value (Adjusted),2012,212.233985813," (adjusted for inflation, 2019 dollars)",2012,,$212.2M,1,$7.8B,,$7812.2B,212.233985813,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Synchronization,Value (Adjusted),2013,208.162343515," (adjusted for inflation, 2019 dollars)",2013,,$208.2M,1,$7.7B,,$7720.6B,208.162343515,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Synchronization,Value (Adjusted),2014,204.875818427," (adjusted for inflation, 2019 dollars)",2014,,$204.9M,1,$7.2B,,$7229.8B,204.875818427,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Synchronization,Value (Adjusted),2015,218.894529344," (adjusted for inflation, 2019 dollars)",2015,,$218.9M,1,$7.2B,,$7238.6B,218.894529344,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Synchronization,Value (Adjusted),2016,228.847859543," (adjusted for inflation, 2019 dollars)",2016,,$228.8M,1,$8.1B,,$8072.8B,228.847859543,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Synchronization,Value (Adjusted),2017,242.063251407," (adjusted for inflation, 2019 dollars)",2017,,$242.1M,1,$9.2B,,$9174.7B,242.063251407,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Synchronization,Value (Adjusted),2018,290.686928901," (adjusted for inflation, 2019 dollars)",2018,,$290.7M,1,$10.0B,,$10024.6B,290.686928901,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Synchronization,Value (Adjusted),2019,276.262360199," (adjusted for inflation, 2019 dollars)",2019,,$276.3M,1,$11.1B,,$11111.6B,276.262360199,2019
1973,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1973,1094.027702703," (adjusted for inflation, 2019 dollars)",1973,$1.1B,,1,$11.6B,,$11611.7B,1094.027702703,1973
1974,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1974,1006.033630832," (adjusted for inflation, 2019 dollars)",1974,$1.0B,,1,$11.4B,,$11407.1B,1006.033630832,1974
1975,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1975,1005.045641264," (adjusted for inflation, 2019 dollars)",1975,$1.0B,,1,$11.4B,,$11350.1B,1005.045641264,1975
1976,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1976,1101.257130053," (adjusted for inflation, 2019 dollars)",1976,$1.1B,,1,$12.3B,,$12298.0B,1101.257130053,1976
1977,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1977,1034.018658416," (adjusted for inflation, 2019 dollars)",1977,$1.0B,,1,$14.8B,,$14769.0B,1034.018658416,1977
1978,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1978,1020.667440184," (adjusted for inflation, 2019 dollars)",1978,$1.0B,,1,$16.2B,,$16199.7B,1020.667440184,1978
1979,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1979,1245.183404959," (adjusted for inflation, 2019 dollars)",1979,$1.2B,,1,$12.9B,,$12943.1B,1245.183404959,1979
1980,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1980,775.658373786," (adjusted for inflation, 2019 dollars)",1980,,$775.7M,1,$11.4B,,$11423.9B,775.658373786,1980
1981,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1981,721.127115512," (adjusted for inflation, 2019 dollars)",1981,,$721.1M,1,$11.2B,,$11176.6B,721.127115512,1981
1982,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1982,749.750580311," (adjusted for inflation, 2019 dollars)",1982,,$749.8M,1,$9.6B,,$9613.2B,749.750580311,1982
1983,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1983,691.249298193," (adjusted for inflation, 2019 dollars)",1983,,$691.2M,1,$9.7B,,$9719.1B,691.249298193,1983
1984,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1984,734.983117421," (adjusted for inflation, 2019 dollars)",1984,,$735.0M,1,$10.7B,,$10666.0B,734.983117421,1984
1985,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1985,667.654433086," (adjusted for inflation, 2019 dollars)",1985,,$667.7M,1,$10.4B,,$10365.3B,667.654433086,1985
1986,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1986,532.074468066," (adjusted for inflation, 2019 dollars)",1986,,$532.1M,1,$10.8B,,$10825.1B,532.074468066,1986
1987,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1987,457.527007923," (adjusted for inflation, 2019 dollars)",1987,,$457.5M,1,$12.5B,,$12521.8B,457.527007923,1987
1988,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1988,389.860716822," (adjusted for inflation, 2019 dollars)",1988,,$389.9M,1,$13.5B,,$13517.0B,389.860716822,1988
1989,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1989,239.9877," (adjusted for inflation, 2019 dollars)",1989,,$240.0M,1,$13.6B,,$13566.7B,239.9877,1989
1990,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1990,184.652033665," (adjusted for inflation, 2019 dollars)",1990,,$184.7M,1,$14.8B,,$14750.8B,184.652033665,1990
1991,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1991,119.944803965," (adjusted for inflation, 2019 dollars)",1991,,$119.9M,1,$14.7B,,$14705.3B,119.944803965,1991
1992,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1992,120.995187455," (adjusted for inflation, 2019 dollars)",1992,,$121.0M,1,$16.4B,,$16443.7B,120.995187455,1992
1993,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1993,90.585732872," (adjusted for inflation, 2019 dollars)",1993,,$90.6M,1,$17.8B,,$17775.0B,90.585732872,1993
1994,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1994,81.423821862," (adjusted for inflation, 2019 dollars)",1994,,$81.4M,1,$20.8B,,$20818.3B,81.423821862,1994
1995,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1995,78.341088583," (adjusted for inflation, 2019 dollars)",1995,,$78.3M,1,$20.7B,,$20667.8B,78.341088583,1995
1996,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1996,77.397753346," (adjusted for inflation, 2019 dollars)",1996,,$77.4M,1,$20.4B,,$20422.9B,77.397753346,1996
1997,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1997,56.706474766," (adjusted for inflation, 2019 dollars)",1997,,$56.7M,1,$19.5B,,$19491.7B,56.706474766,1997
1998,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1998,40.309109816," (adjusted for inflation, 2019 dollars)",1998,,$40.3M,1,$21.5B,,$21505.3B,40.309109816,1998
1999,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),1999,42.814107443," (adjusted for inflation, 2019 dollars)",1999,,$42.8M,1,$22.4B,,$22381.0B,42.814107443,1999
2000,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2000,39.046336237," (adjusted for inflation, 2019 dollars)",2000,,$39.0M,1,$21.3B,,$21265.7B,39.046336237,2000
2001,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2001,45.328231508," (adjusted for inflation, 2019 dollars)",2001,,$45.3M,1,$19.8B,,$19843.7B,45.328231508,2001
2002,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2002,35.385543635," (adjusted for inflation, 2019 dollars)",2002,,$35.4M,1,$17.9B,,$17928.4B,35.385543635,2002
2003,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2003,29.872964674," (adjusted for inflation, 2019 dollars)",2003,,$29.9M,1,$16.5B,,$16471.0B,29.872964674,2003
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2004,26.932632610," (adjusted for inflation, 2019 dollars)",2004,,$26.9M,1,$16.7B,,$16707.8B,26.932632610,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2005,17.279428571," (adjusted for inflation, 2019 dollars)",2005,,$17.3M,1,$16.1B,,$16088.1B,17.279428571,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2006,12.554584821," (adjusted for inflation, 2019 dollars)",2006,,$12.6M,1,$14.9B,,$14912.7B,12.554584821,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2007,4.933082489," (adjusted for inflation, 2019 dollars)",2007,,$4.9M,1,$13.1B,,$13135.4B,4.933082489,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2008,3.443543750," (adjusted for inflation, 2019 dollars)",2008,,$3.4M,1,$10.4B,,$10421.8B,3.443543750,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2009,2.979171425," (adjusted for inflation, 2019 dollars)",2009,,$3.0M,1,$9.3B,,$9332.0B,2.979171425,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2010,2.696605918," (adjusted for inflation, 2019 dollars)",2010,,$2.7M,1,$8.2B,,$8223.2B,2.696605918,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2011,5.228182752," (adjusted for inflation, 2019 dollars)",2011,,$5.2M,1,$8.1B,,$8110.0B,5.228182752,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2012,5.281477044," (adjusted for inflation, 2019 dollars)",2012,,$5.3M,1,$7.8B,,$7812.2B,5.281477044,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2013,3.269213385," (adjusted for inflation, 2019 dollars)",2013,,$3.3M,1,$7.7B,,$7720.6B,3.269213385,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2014,5.938887283," (adjusted for inflation, 2019 dollars)",2014,,$5.9M,1,$7.2B,,$7229.8B,5.938887283,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2015,6.205390253," (adjusted for inflation, 2019 dollars)",2015,,$6.2M,1,$7.2B,,$7238.6B,6.205390253,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2016,5.198931395," (adjusted for inflation, 2019 dollars)",2016,,$5.2M,1,$8.1B,,$8072.8B,5.198931395,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2017,6.339677560," (adjusted for inflation, 2019 dollars)",2017,,$6.3M,1,$9.2B,,$9174.7B,6.339677560,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2018,5.386196747," (adjusted for inflation, 2019 dollars)",2018,,$5.4M,1,$10.0B,,$10024.6B,5.386196747,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Vinyl Single,Value (Adjusted),2019,6.795945687," (adjusted for inflation, 2019 dollars)",2019,,$6.8M,1,$11.1B,,$11111.6B,6.795945687,2019
